Date,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA
2021-03-03,118.998,220.478,150.25,100.208,217.733,12.7719
2021-03-04,117.121,219.666,148.878,101.328,207.147,12.3384
2021-03-05,118.367,224.386,150.023,104.475,199.317,12.4294
2021-03-08,113.437,220.312,147.598,100.012,187.667,11.5638
2021-03-09,118.045,226.486,153.142,101.65,224.527,12.4924
2021-03-10,116.983,225.176,152.882,101.442,222.687,12.4404
2021-03-11,118.901,229.738,155.68,104.648,233.2,12.9657
2021-03-12,117.985,228.41,154.474,102.129,231.243,12.8278
2021-03-15,120.872,227.492,154.084,102.351,235.98,13.1623
2021-03-16,122.425,230.305,154.593,103.818,225.627,13.2622
2021-03-17,121.629,229.649,156.786,103.735,233.937,13.3121
2021-03-18,117.504,223.535,151.4,100.702,217.72,12.6941
2021-03-19,116.983,223.174,153.748,100.982,218.29,12.8178
2021-03-22,120.292,228.642,155.544,101.169,223.333,13.1573
2021-03-23,119.457,230.176,156.875,101.697,220.72,13.0425
2021-03-24,117.082,228.126,154.354,101.258,210.09,12.6152
2021-03-25,117.562,225.096,152.313,101.255,213.463,12.5074
2021-03-26,118.162,229.112,152.602,100.87,206.237,12.8108
2021-03-29,118.337,227.911,153.786,101.921,203.763,12.9198
2021-03-30,116.904,224.63,152.764,101.955,211.873,12.8438
2021-03-31,119.085,228.43,154.704,102.753,222.643,13.3191
2021-04-01,119.909,234.797,158.05,106.104,220.583,13.7827
2021-04-05,122.748,241.322,161.336,110.547,230.35,13.958
2021-04-06,123.053,240.139,161.191,110.064,230.54,13.8325
2021-04-07,124.682,242.114,163.969,111.548,223.657,14.1138
2021-04-08,127.091,245.366,164.965,112.115,227.933,14.2856
2021-04-09,129.663,247.876,168.61,113.124,225.673,14.3685
2021-04-12,127.944,247.935,168.969,111.825,233.993,15.1754
2021-04-13,131.046,250.436,170.0,112.314,254.107,15.6436
2021-04-14,128.719,247.632,166.65,111.69,244.077,15.2422
2021-04-15,131.115,251.423,168.954,113.85,246.283,16.101
2021-04-16,130.791,252.621,169.972,113.726,246.593,15.8763
2021-04-19,131.451,250.679,168.6,114.074,238.21,15.3271
2021-04-20,129.77,250.221,166.734,113.538,239.663,15.1375
2021-04-21,130.154,252.468,168.101,113.505,248.04,15.3251
2021-04-22,128.63,249.155,165.452,112.219,239.897,14.817
2021-04-23,130.94,253.013,167.044,114.581,243.133,15.2313
2021-04-26,131.333,253.395,170.45,115.079,246.067,15.4428
2021-04-27,131.007,253.805,170.872,114.135,234.913,15.3471
2021-04-28,130.231,246.626,172.925,117.526,231.467,15.2422
2021-04-29,130.134,244.643,173.566,119.206,225.667,15.2902
2021-04-30,128.161,244.322,173.371,117.25,236.48,14.9767
2021-05-03,129.22,244.007,169.324,116.731,228.3,14.804
2021-05-04,124.633,240.071,165.594,114.925,224.533,14.3195
2021-05-05,124.88,238.784,163.527,115.32,223.647,14.4263
2021-05-06,126.488,241.948,165.318,116.445,221.18,14.4913
2021-05-07,127.157,244.593,164.58,117.171,224.123,14.779
2021-05-10,123.877,239.476,159.524,114.174,209.68,14.2347
2021-05-11,122.963,238.547,161.195,113.093,205.733,14.2746
2021-05-12,119.89,231.556,157.597,109.614,196.63,13.7287
