,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA
2021-03-31,6.130331558756225e-14,0.5154927302392939,0.06580480660185745,0.173603661993742,2.094689312725412e-11,0.24509880114409846
2021-04-01,2.9458496873757395e-10,0.6605581078200963,0.0,0.3394418912099436,4.538887905171198e-10,7.054162381816276e-10
2021-04-05,0.0,0.6234547825546823,0.0,0.3765452158182709,1.325963567551998e-09,1.2056392843276837e-09
2021-04-06,0.0,0.24224677547689355,0.3260415184730314,0.43171170599838515,8.173226434133784e-11,2.160723818947001e-11
2021-04-07,0.17373936500732357,2.482662843686696e-11,0.8262606355535463,2.0158889837153086e-11,0.0,0.0
2021-04-08,0.4477435019519978,0.0,0.5522564977275422,0.0,3.9928344701001687e-10,2.6607173860630426e-10
2021-04-09,0.3831802998836617,9.14423714200217e-12,0.6168197001278963,6.932427635358392e-12,0.0,0.0
2021-04-12,0.09142370857836152,0.06855210328126224,0.7942829885215537,0.0,0.0,0.04574119962324509
2021-04-13,0.35869511033049833,0.03917800814116129,0.5762307982573707,0.0,0.01856611717996636,0.007329966091053512
2021-04-14,0.2700608158427985,0.3673192425229857,0.04810653886112791,0.25566100267756564,3.1847323549144095e-16,0.058852400095521944
2021-04-15,0.31427195410052744,0.2872357633580403,3.603986954790056e-14,0.3383510750971131,0.0,0.060141207444375205
2021-04-16,0.05444205657080673,0.28944643869005665,0.45401853958760263,0.16468351569649906,0.03740944945482474,2.1012523901584544e-13
2021-04-19,0.46065730881442807,0.04644584540681753,0.03123280477583652,0.46166404100131325,1.6127332320044531e-12,0.0
2021-04-20,0.2093863866026876,0.44073622673213514,1.8839898671816814e-12,0.34987738666241186,0.0,3.4711942409861364e-12
2021-04-21,0.06401737526036877,0.7402860413466436,0.0,0.14104859859406318,0.05464798484751906,0.0
2021-04-22,0.22181618101391615,0.7182063588967207,1.0924995734956489e-11,0.03941125337879174,0.020566206678568302,2.1078171316881846e-11
2021-04-23,0.18496361654485852,0.6199716525951363,0.0,0.19506473086293075,2.313888582346072e-12,0.0
2021-04-26,0.02841622304539516,0.1638905417068465,0.560792736316865,0.22973943900110477,0.017161059913997738,1.5790891252097465e-11
2021-04-27,0.0,0.320325658692337,0.6796743410471306,1.2871279591746972e-11,8.189099467264563e-12,2.6141898265143907e-10
